400 722
5.789474 -0.526316 2.936435
6.842105 -0.526316 3.071754
7.894737 -0.526316 3.18765
8.947368 -0.526316 3.252755
10.0 -0.526316 3.249446
-10.0 0.526316 3.249446
-8.947368 0.526316 3.252755
-7.894737 0.526316 3.18765
-6.842105 0.526316 3.071754
-5.789474 0.526316 2.936435
-4.736842 0.526316 2.818322
-3.684211 0.526316 2.749384
-2.631579 0.526316 2.748281
-1.578947 0.526316 2.815311
-0.526316 0.526316 2.932332
0.526316 0.526316 3.067668
1.578947 0.526316 3.184689
2.631579 0.526316 3.251719
3.684211 0.526316 3.250616
4.736842 0.526316 3.181678
5.789474 0.526316 3.063565
6.842105 0.526316 2.928246
7.894737 0.526316 2.81235
8.947368 0.526316 2.747245
10.0 0.526316 2.750554
-10.0 1.578947 3.68082
-8.947368 1.578947 3.689851
-7.894737 1.578947 3.512159
-6.842105 1.578947 3.195839
-5.789474 1.578947 2.826511
-4.736842 1.578947 2.504142
-3.684211 1.578947 2.315988
-2.631579 1.578947 2.312977
-1.578947 1.578947 2.495925
-0.526316 1.578947 2.815311
0.526316 1.578947 3.184689
1.578947 1.578947 3.504075
2.631579 1.578947 3.687023
3.684211 1.578947 3.684012
4.736842 1.578947 3.495858
5.789474 1.578947 3.173489
6.842105 1.578947 2.804161
7.894737 1.578947 2.487841
8.947368 1.578947 2.310149
10.0 1.578947 2.31918
-10.0 2.631579 3.927914
-8.947368 2.631579 3.940224
-7.894737 2.631579 3.69804
-6.842105 2.631579 3.266916
-5.789474 2.631579 2.763546
-4.736842 2.631579 2.324177
-3.684211 2.631579 2.067735
-2.631579 2.631579 2.063631
-1.578947 2.631579 2.312977
-0.526316 2.631579 2.748281
0.526316 2.631579 3.251719
1.578947 2.631579 3.687023
2.631579 2.631579 3.936369
3.684211 2.631579 3.932265
4.736842 2.631579 3.675823
5.789474 2.631579 3.236454
6.842105 2.631579 2.733084
7.894737 2.631579 2.30196
8.947368 2.631579 2.059776
10.0 2.631579 2.072086
-10.0 3.684211 3.923848
-8.947368 3.684211 3.936103
-7.894737 3.684211 3.694981
-6.842105 3.684211 3.265747
-5.789474 3.684211 2.764582
-4.736842 3.684211 2.327138
-3.684211 3.684211 2.07182
-2.631579 3.684211 2.067735
-1.578947 3.684211 2.315988
-0.526316 3.684211 2.749384
0.526316 3.684211 3.250616
1.578947 3.684211 3.684012
2.631579 3.684211 3.932265
3.684211 3.684211 3.92818
4.736842 3.684211 3.672862
5.789474 3.684211 3.235418
6.842105 3.684211 2.734253
7.894737 3.684211 2.305019
8.947368 3.684211 2.063897
10.0 3.684211 2.076152
-10.0 4.736842 3.669721
-8.947368 4.736842 3.678605
-7.894737 4.736842 3.50381
-6.842105 4.736842 3.192647
-5.789474 4.736842 2.829339
-4.736842 4.736842 2.512225
-3.684211 4.736842 2.327138
-2.631579 4.736842 2.324177
-1.578947 4.736842 2.504142
-0.526316 4.736842 2.818322
0.526316 4.736842 3.181678
1.578947 4.736842 3.495858
2.631579 4.736842 3.675823
3.684211 4.736842 3.672862
4.736842 4.736842 3.487775
5.789474 4.736842 3.170661
6.842105 4.736842 2.807353
